,English,Pinyin,Chinese
0,of,de,的
1,One,yī,一
2,Yes,shì,是
3,Do not,bù,不
4,The,le,了
5,in,zài,在
6,people,rén,人
7,Have,yǒu,有
8,I,wǒ,我
9,he,tā,他
10,This,zhè,这
11,More,gè,个
12,They,men,们
13,in,zhōng,中
14,Come,lái,来
15,on,shàng,上
16,Big,dà,大
17,for,wèi,为
18,with,hé,和
19,country,guó,国
20,Ground,de,地
21,To,dào,到
22,With,yǐ,以
23,Say,shuō,说
24,Time,shí,时
25,want,yào,要
26,on,jiù,就
27,Out,chū,出
28,meeting,huì,会
29,can,kě,可
30,and also,yě,也
31,you,nǐ,你
32,Correct,duì,对
33,Raw,shēng,生
34,can,néng,能
35,and,ér,而
36,child,zi,子
37,that,nà,那
38,Get,dé,得
39,in,yú,于
40,The,zhe,着
41,under,xià,下
42,from,zì,自
43,It,zhī,之
44,year,nián,年
45,Live,guò,过
46,hair,fā,发
47,Rear,hòu,后
48,Make,zuò,作
49,in,lǐ,里
50,use,yòng,用
51,Road,dào,道
52,Row,xíng,行
53,The,suǒ,所
54,However,rán,然
55,Home,jiā,家
56,Kind,zhǒng,种
57,thing,shì,事
58,to make,chéng,成
59,square,fāng,方
60,many,duō,多
61,through,jīng,经
62,What,me,么
63,go with,qù,去
64,law,fǎ,法
65,learn,xué,学
66,Such as,rú,如
67,All,dōu,都
68,with,tóng,同
69,Present,xiàn,现
70,when,dāng,当
71,No,méi,没
72,move,dòng,动
73,surface,miàn,面
74,Start,qǐ,起
75,Look,kàn,看
76,set,dìng,定
77,day,tiān,天
78,Minute,fēn,分
79,also,hái,还
80,Enter,jìn,进
81,Great,hǎo,好
82,small,xiǎo,小
83,unit,bù,部
84,its,qí,其
85,some,xiē,些
86,the Lord,zhǔ,主
87,kind,yàng,样
88,Reason,lǐ,理
89,heart,xīn,心
90,she was,tā,她
91,this,běn,本
92,before,qián,前
93,open,kāi,开
94,but,dàn,但
95,because,yīn,因
96,only,zhǐ,只
97,From,cóng,从
98,miss you,xiǎng,想
99,real,shí,实
100,day,rì,日
101,By,zhě,者
102,meaning,yì,意
103,no,wú,无
104,force,lì,力
105,it,tā,它
106,versus,yǔ,与
107,long,zhǎng,长
108,The,bǎ,把
109,machine,jī,机
110,ten,shí,十
111,people,mín,民
112,The first,dì,第
113,public,gōng,公
114,this,cǐ,此
115,Already,yǐ,已
116,work,gōng,工
117,Make,shǐ,使
118,situation,qíng,情
119,Bright,míng,明
120,Sex,xìng,性
121,know,zhī,知
122,all,quán,全
123,three,sān,三
124,also,yòu,又
125,turn off,guān,关
126,point,diǎn,点
127,positive,zhèng,正
128,industry,yè,业
129,outer,wài,外
130,will,jiāng,将
131,Two,liǎng,两
132,high,gāo,高
133,between,jiān,间
134,by,yóu,由
135,ask,wèn,问
136,very,hěn,很
137,most,zuì,最
138,weight,zhòng,重
139,and,bìng,并
140,Thing,wù,物
141,should,yīng,应
142,to,xiàng,向
143,head,tóu,头
144,Culture,wén,文
145,body,tǐ,体
146,phase,xiāng,相
147,see,jiàn,见
148,Is,bèi,被
149,Profit,lì,利
150,Assorted,shén,什
151,two,èr,二
152,Wait,děng,等
153,or,huò,或
154,new,xīn,新
155,already,jǐ,己
156,body,shēn,身
157,fruit,guǒ,果
158,plus,jiā,加
159,WEAT,xī,西
160,month,yuè,月
161,words,huà,话
162,Close,hé,合
163,special,tè,特
164,Inside,nèi,内
165,letter,xìn,信
166,table,biǎo,表
167,Of,huà,化
168,old,lǎo,老
169,give,gěi,给
170,world,shì,世
171,Place,wèi,位
172,Secondary,cì,次
173,degree,dù,度
174,door,mén,门
175,Any,rèn,任
176,often,cháng,常
177,first,xiān,先
178,sea,hǎi,海
179,through,tōng,通
180,teach,jiào,教
181,child,ér,儿
182,original,yuán,原
183,east,dōng,东
184,sound,shēng,声
185,mention,tí,提
186,and,jí,及
187,ratio,bǐ,比
188,member,yuán,员
189,solution,jiě,解
190,water,shuǐ,水
191,name,míng,名
192,true,zhēn,真
193,s,lùn,论
194,Office,chù,处
195,each,gè,各
196,Enter,rù,入
197,a few,jǐ,几
198,mouth,kǒu,口
199,recognize,rèn,认
200,Article,tiáo,条
201,level,píng,平
202,system,xì,系
203,gas,qì,气
204,question,tí,题
205,live,huó,活
206,Seoul,ěr,尔
207,more,gèng,更
208,do not,bié,别
209,hit,dǎ,打
210,Female,nǚ,女
211,change,biàn,变
212,four,sì,四
213,total,zǒng,总
214,what,hé,何
215,Electricity,diàn,电
216,number,shù,数
217,Secure,ān,安
218,less,shǎo,少
219,Report,bào,报
220,only,cái,才
221,Knot,jié,结
222,anti-,fǎn,反
223,Suffer,shòu,受
224,Eye,mù,目
225,too,tài,太
226,the amount,liàng,量
227,again,zài,再
228,sense,gǎn,感
229,build,jiàn,建
230,Business,wù,务
231,do,zuò,做
232,Meet,jiē,接
233,field,chǎng,场
234,Item,jiàn,件
235,meter,jì,计
236,tube,guǎn,管
237,period,qī,期
238,city,shì,市
239,straight,zhí,直
240,Capital,zī,资
241,Life,mìng,命
242,gold,jīn,金
243,Finger,zhǐ,指
244,Gram,kè,克
245,Xu,xǔ,许
246,Area,qū,区
247,Insurance,bǎo,保
248,to,zhì,至
249,team,duì,队
250,Society,shè,社
251,Then,biàn,便
252,air,kōng,空
253,Decide,jué,决
254,exhibition,zhǎn,展
255,horse,mǎ,马
256,Family,kē,科
257,Department,sī,司
258,Fives,wǔ,五
259,base,jī,基
260,eye,yǎn,眼
261,book,shū,书
262,non-,fēi,非
263,then,zé,则
264,listen,tīng,听
265,White,bái,白
266,but,què,却
267,Circles,jiè,界
268,Light,guāng,光
269,put,fàng,放
270,which is,jí,即
271,Like,xiàng,像
272,difficult,nán,难
273,And,qiě,且
274,think,sī,思
275,Like,xiàng,象
276,Finish,wán,完
277,formula,shì,式
278,color,sè,色
279,road,lù,路
280,Remember,jì,记
281,south,nán,南
282,live,zhù,住
283,Tell,gào,告
284,begging,qiú,求
285,according to,jù,据
286,north,běi,北
287,side,biān,边
288,dead,sǐ,死
289,Zhang,zhāng,张
290,That,gāi,该
291,cross,jiāo,交
292,regulation,guī,规
293,Ten thousand,wàn,万
294,take,qǔ,取
295,Pull,lā,拉
296,grid,gé,格
297,hope,wàng,望
298,feel,jué,觉
299,Technique,shù,术
300,Altogether,gòng,共
301,Indeed,què,确
302,pass,chuán,传
303,division,shī,师
304,Watch,guān,观
305,clear,qīng,清
306,this,jīn,今
307,cut,qiè,切
308,hospital,yuàn,院
309,yield,ràng,让
310,knowledge,shí,识
311,Wait,hòu,候
312,band,dài,带
313,guide,dǎo,导
314,Fight,zhēng,争
315,Transport,yùn,运
316,laugh,xiào,笑
317,fly,fēi,飞
318,wind,fēng,风
319,step,bù,步
320,change,gǎi,改
321,Receive,shōu,收
322,root,gēn,根
323,dry,gàn,干
324,Speech,yán,言
325,United,lián,联
326,hold,chí,持
327,each,měi,每
328,Aid,jì,济
329,car,chē,车
330,Dear,qīn,亲
331,pole,jí,极
332,forest,lín,林
333,clothes,fú,服
334,fast,kuài,快
335,do,bàn,办
336,Discuss,yì,议
337,to,wǎng,往
338,yuan,yuán,元
339,Scholar,shì,士
340,certificate,zhèng,证
341,near,jìn,近
342,Lose,shī,失
343,husband,fū,夫
344,quasi-,zhǔn,准
345,beginning,shǐ,始
346,How,zěn,怎
347,It,ne,呢
348,Deposit,cún,存
349,far,yuǎn,远
350,call,jiào,叫
351,station,tái,台
352,single,dān,单
353,shadow,yǐng,影
354,Equipment,jù,具
355,word,zì,字
356,Love,ài,爱
357,flow,liú,流
358,Equipment,bèi,备
359,even,lián,连
360,Tone,diào,调
361,deep,shēn,深
362,Business,shāng,商
363,Count,suàn,算
364,quality,zhì,质
365,hundred,bǎi,百
366,need,xū,需
367,price,jià,价
368,flower,huā,花
369,city,chéng,城
370,level,jí,级
371,whole,zhěng,整
372,from,lí,离
373,condition,kuàng,况
374,Asia,yà,亚
375,please,qǐng,请
376,Skill,jì,技
377,The occasion,jì,际
378,approximately,yuē,约
379,Show,shì,示
380,complex,fù,复
381,disease,bìng,病
382,interest,xī,息
383,Investigate,jiū,究
384,line,xiàn,线
385,fire,huǒ,火
386,Break,duàn,断
387,fine,jīng,精
388,full,mǎn,满
389,support,zhī,支
390,Regard,shì,视
391,Eliminate,xiāo,消
392,More,yuè,越
393,Allow,róng,容
394,Photo,zhào,照
395,Must,xū,须
396,nine,jiǔ,九
397,increase,zēng,增
398,research,yán,研
399,write,xiě,写
400,Eight,bā,八
401,Gong,gōng,功
402,It,ma,吗
403,package,bāo,包
404,sheet,piàn,片
405,history,shǐ,史
406,Down,hū,乎
407,check,chá,查
408,light,qīng,轻
409,easy,yì,易
410,early,zǎo,早
411,except,chú,除
412,Find,zhǎo,找
413,wide,guǎng,广
414,It,ba,吧
415,A,ā,阿
416,Plum,lǐ,李
417,Mark,biāo,标
418,talk,tán,谈
419,eat,chī,吃
420,Map,tú,图
421,six,liù,六
422,lead,yǐn,引
423,calendar,lì,历
424,first,shǒu,首
425,medical,yī,医
426,Office,jú,局
427,sudden,tū,突
428,Special,zhuān,专
429,fee,fèi,费
430,number,hào,号
431,Exhausted,jǐn,尽
432,another,lìng,另
433,week,zhōu,周
434,Relatively,jiào,较
435,Note,zhù,注
436,language,yǔ,语
437,only,jǐn,仅
438,test,kǎo,考
439,drop,luò,落
440,Follow,suí,随
441,selected,xuǎn,选
442,Row,liè,列
443,red,hóng,红
444,ring,xiǎng,响
445,although,suī,虽
446,Push,tuī,推
447,Ginseng,cān,参
448,hope,xī,希
449,Many,zhòng,众
450,room,fáng,房
451,half,bàn,半
452,Festival,jié,节
453,case,àn,案
454,black,hēi,黑
455,Draw,huà,划
456,law,lǜ,律
457,foot,zú,足
458,state,tài,态
459,Protect,hù,护
460,Seven,qī,七
461,Interest,xìng,兴
462,child,hái,孩
463,Test,yàn,验
464,responsibility,zé,责
465,star,xīng,星
466,enough,gòu,够
467,chapter,zhāng,章
468,sound,yīn,音
469,with,gēn,跟
470,Mark,zhì,志
471,bottom,dǐ,底
472,strict,yán,严
473,example,lì,例
474,Clan,zú,族
475,for,gōng,供
476,effect,xiào,效
477,Continue,xù,续
478,stay,liú,留
479,speak,jiǎng,讲
480,material,liào,料
481,end,zhōng,终
482,answer,dá,答
483,tight,jǐn,紧
484,yellow,huáng,黄
485,Absolutely,jué,绝
486,odd,qí,奇
487,Observe,chá,察
488,mother,mǔ,母
489,Beijing,jīng,京
490,segment,duàn,段
491,Batch,pī,批
492,Therefore,gù,故
493,press,àn,按
494,River,hé,河
495,Meter,mǐ,米
496,Enclose,wéi,围
497,River,jiāng,江
498,harm,hài,害
499,double,shuāng,双
500,territory,jìng,境
501,customer,kè,客
502,discipline,jì,纪
503,Move,jǔ,举
504,father,fù,父
