Chinese,Pinyin,English
的,de,of
一,yī,One
是,shì,Yes
不,bù,Do not
了,le,The
在,zài,in
人,rén,people
有,yǒu,Have
我,wǒ,I
他,tā,he
这,zhè,This
个,gè,More
们,men,They
中,zhōng,in
来,lái,Come
上,shàng,on
大,dà,Big
为,wèi,for
和,hé,with
国,guó,country
地,de,Ground
到,dào,To
以,yǐ,With
说,shuō,Say
时,shí,Time
要,yào,want
就,jiù,on
出,chū,Out
会,huì,meeting
可,kě,can
也,yě,and also
你,nǐ,you
对,duì,Correct
生,shēng,Raw
能,néng,can
而,ér,and
子,zi,child
那,nà,that
得,dé,Get
于,yú,in
着,zhe,The
下,xià,under
自,zì,from
之,zhī,It
年,nián,year
过,guò,Live
发,fā,hair
后,hòu,Rear
作,zuò,Make
里,lǐ,in
用,yòng,use
道,dào,Road
行,xíng,Row
所,suǒ,The
然,rán,However
家,jiā,Home
种,zhǒng,Kind
事,shì,thing
成,chéng,to make
方,fāng,square
多,duō,many
经,jīng,through
么,me,What
去,qù,go with
法,fǎ,law
学,xué,learn
如,rú,Such as
都,dōu,All
同,tóng,with
现,xiàn,Present
当,dāng,when
没,méi,No
动,dòng,move
面,miàn,surface
起,qǐ,Start
看,kàn,Look
定,dìng,set
天,tiān,day
分,fēn,Minute
还,hái,also
进,jìn,Enter
好,hǎo,Great
小,xiǎo,small
部,bù,unit
其,qí,its
些,xiē,some
主,zhǔ,the Lord
样,yàng,kind
理,lǐ,Reason
心,xīn,heart
她,tā,she was
本,běn,this
前,qián,before
开,kāi,open
但,dàn,but
因,yīn,because
只,zhǐ,only
从,cóng,From
想,xiǎng,miss you
实,shí,real
日,rì,day
者,zhě,By
意,yì,meaning
无,wú,no
力,lì,force
它,tā,it
与,yǔ,versus
长,zhǎng,long
把,bǎ,The
机,jī,machine
十,shí,ten
民,mín,people
第,dì,The first
公,gōng,public
此,cǐ,this
已,yǐ,Already
工,gōng,work
使,shǐ,Make
情,qíng,situation
明,míng,Bright
性,xìng,Sex
知,zhī,know
全,quán,all
三,sān,three
又,yòu,also
关,guān,turn off
点,diǎn,point
正,zhèng,positive
业,yè,industry
外,wài,outer
将,jiāng,will
两,liǎng,Two
高,gāo,high
间,jiān,between
由,yóu,by
问,wèn,ask
很,hěn,very
最,zuì,most
重,zhòng,weight
